description,Price,Rating,reviewCount,url
G.SKILL Trident Z Neo (for AMD Ryzen) Series 16GB (2 x 8GB) 288-Pin RGB DDR4 SDRAM 3600mhZ Desktop F4-3600C18D-16GTZN,$109.99,4.8 out of 5 stars,983,https://www.amazon.com/G-SKILL-Trident-288-Pin-3600mhZ-F4-3600C18D-16GTZN/dp/B07WGQZTKB/ref=sr_1_32?dchild=1&keywords=RAM&qid=1625129173&sr=8-32
Corsair Vengeance LPX 8GB (1x8GB) DDR4 3200 (PC4-25600) C16 Optimized for AMD Ryzen - Black,$51.99,4.8 out of 5 stars,86,https://www.amazon.com/Corsair-Vengeance-1x8GB-PC4-25600-Optimized/dp/B08D6LKYR5/ref=sr_1_33?dchild=1&keywords=RAM&qid=1625129173&sr=8-33
CORSAIR Vengeance RGB PRO 32GB (2x16GB) DDR4 3600 (PC4-28800) C18 Desktop Memory – Black,$189.99,4.7 out of 5 stars,435,https://www.amazon.com/CORSAIR-Vengeance-2x16GB-PC4-28800-Desktop/dp/B082DJ19CK/ref=sr_1_34?dchild=1&keywords=RAM&qid=1625129173&sr=8-34
Corsair Vengeance RGB Pro 16GB (2x8GB) DDR4 3600 (PC4-28800) C18 Desktop Memory – White,$119.99,4.9 out of 5 stars,"26,860",https://www.amazon.com/Corsair-Vengeance-PC4-28800-Desktop-Memory/dp/B085SNZQTJ/ref=sr_1_35?dchild=1&keywords=RAM&qid=1625129173&sr=8-35
Patriot Viper 4 Blackout Series DDR4 8GB (2 x 4GB) 3000MHz Kit,$45.99,4.6 out of 5 stars,"2,007",https://www.amazon.com/Patriot-Viper-Blackout-DDR4-3000MHz/dp/B07TVFBYPB/ref=sr_1_36?dchild=1&keywords=RAM&qid=1625129173&sr=8-36
LEVEN DDR4 8GB KIT (4GB×2) 2400MHz PC4-19200 CL17 Unbuffered Non-ECC 1.2V UDIMM 288 Pin PC Computer Desktop Memory Module Ram Upgrade- Lares(JR4UL2400172408-4Mx2),$40.99,4.4 out of 5 stars,464,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A063722713Q2K4ZL3OT2P&url=%2FLEVEN-PC4-19200-Unbuffered-Computer-JR4UL2400172408-4Mx2%2Fdp%2FB08M5XFB5T%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129173%26sr%3D8-37-spons%26psc%3D1&qualifier=1625129173&id=6354997579434101&widgetName=sp_btf
HTC Wildfire E1 Plus 32 GB Storage 3 GB RAM LTE Fingerprint Octa-Core Long Battery Life Smartphone,$139.00,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A09049023VE1RADXAJQDG&url=%2FWildfire-Storage-Fingerprint-Octa-Core-Smartphone%2Fdp%2FB095B7QD1C%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129173%26sr%3D8-38-spons%26psc%3D1&qualifier=1625129173&id=6354997579434101&widgetName=sp_btf
LEVEN SINBA 8GB (8GBx1) DDR4 3000MHz PC4-24000 288-Pin U-DIMM CL16 XMP2.0 Overclocking Gaming RAM Desktop Memory Module- Gray (JROC4U3000172408G-8M),$40.99,4.6 out of 5 stars,442,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0635999603SLXFS7H7V&url=%2FLEVEN-3000MHz-PC4-24000-Overclocking-JROC4U3000172408G-8M%2Fdp%2FB08M64HV7S%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129177%26sr%3D8-33-spons%26psc%3D1&qualifier=1625129177&id=3482510968130035&widgetName=sp_atf_next
LEVEN RGB 16GB KIT (8GBx2) DDR4-3000MHz PC4-24000 288-Pin U-DIMM CL16 XMP2.0 Overclocking Gaming RAM Desktop Memory Module- RED (JRG4U3000172408R-8Mx2),$80.99,5.0 out of 5 stars,5,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A03988743J240S7DDQ3EF&url=%2FLEVEN-DDR4-3000MHz-PC4-24000-Overclocking-JRG4U3000172408R-8Mx2%2Fdp%2FB08V5J1DKG%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129177%26sr%3D8-34-spons%26psc%3D1&qualifier=1625129177&id=3482510968130035&widgetName=sp_atf_next
"G.Skill Ripjaws X Series 16 GB (2 x 8 GB) 240-Pin DDR3 SDRAM Desktop Memory (1600 MHz, PC3 12800) F3-12800CL10D-16GBXL",$88.99,4.8 out of 5 stars,"1,134",https://www.amazon.com/G-Skill-Ripjaws-240-Pin-Desktop-F3-12800CL10D-16GBXL/dp/B0064DQR9U/ref=sr_1_35?dchild=1&keywords=RAM&qid=1625129177&sr=8-35
Patriot Viper Steel RGB DDR4 32GB (1 x 32GB) 3600MHz Module - PVSR432G360C0,$174.99,4.8 out of 5 stars,51,https://www.amazon.com/Patriot-Viper-Steel-3600MHz-Module/dp/B08N67VL99/ref=sr_1_36?dchild=1&keywords=RAM&qid=1625129177&sr=8-36
G.Skill Trident Z RGB Series 32GB (2 x 16GB) 288-Pin SDRAM PC4-28800 DDR4 3600 CL18-22-22-42 1.35V Dual Channel Desktop Memory Model F4-3600C18D-32GTZR,$189.99,4.8 out of 5 stars,513,https://www.amazon.com/G-Skill-Trident-PC4-28800-CL18-22-22-42-F4-3600C18D-32GTZR/dp/B08176KLZT/ref=sr_1_37?dchild=1&keywords=RAM&qid=1625129177&sr=8-37
Crucial Ballistix MAX RGB 4400 MHz DDR4 DRAM Desktop Gaming Memory Kit 16GB (8GBx2) CL19 BLM2K8G44C19U4BL (Black),$263.99,4.7 out of 5 stars,"6,012",https://www.amazon.com/Crucial-Ballistix-Desktop-Gaming-BLM2K8G44C19U4BL/dp/B08DRR76DL/ref=sr_1_38?dchild=1&keywords=RAM&qid=1625129177&sr=8-38
Corsair Vengeance RGB Pro 32GB (4x8GB) DDR4 4000 (PC4-32000) C18 AMD Optimized Memory – Black,$309.99,4.7 out of 5 stars,24,https://www.amazon.com/Corsair-Vengeance-PC4-32000-Optimized-Memory/dp/B07X2V318S/ref=sr_1_39?dchild=1&keywords=RAM&qid=1625129177&sr=8-39
Patriot Viper Steel DDR4 32GB (2 x 16GB) 3600MHz Kit - PVS432G360C8K,$174.99,4.6 out of 5 stars,"1,844",https://www.amazon.com/Viper-Steel-DDR4-32GB-3600MHz/dp/B088KSRW4S/ref=sr_1_40?dchild=1&keywords=RAM&qid=1625129177&sr=8-40
Corsair Vengeance RGB Pro 16GB (2x8GB) DDR4 3600 (PC4-28800) C16 Desktop Memory – Black,$124.99,4.9 out of 5 stars,115,https://www.amazon.com/Corsair-Vengeance-PC4-28800-Desktop-Memory/dp/B08PW4QZP2/ref=sr_1_41?dchild=1&keywords=RAM&qid=1625129177&sr=8-41
Patriot Viper Steel DDR4 8GB (2 x 4GB) 3200MHz Memory Kit - PVS48G320C6K,$51.99,4.5 out of 5 stars,314,https://www.amazon.com/Patriot-Viper-Steel-3200MHz-Memory/dp/B07WMSJGS1/ref=sr_1_42?dchild=1&keywords=RAM&qid=1625129177&sr=8-42
LEVEN DDR4 8GB KIT (4GB×2) 2133MHz PC4-17000 CL15 Unbuffered Non-ECC 1.2V UDIMM 288 Pin PC Computer Desktop Memory Module Ram Upgrade- Lares(JR4UL2133172408-4Mx2),$38.99,4.4 out of 5 stars,464,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A06364914J6ZVX0KHFQM&url=%2FLEVEN-PC4-17000-Unbuffered-Computer-JR4UL2133172408-4Mx2%2Fdp%2FB08X154K3T%2Fref%3Dsr_1_43_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129177%26sr%3D8-43-spons%26psc%3D1&qualifier=1625129177&id=3482510968130035&widgetName=sp_mtf
TEAMGROUP T-Force Vulcan Z DDR4 16GB Kit (2x8GB) 3200MHz (PC4-25600) CL18 Desktop Memory Module Ram (Red) - TLZRD416G3200HC16FDC01,$74.99,4.8 out of 5 stars,"6,317",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A07301011OBWQJ51V7CGY&url=%2FTEAMGROUP-T-Force-3200MHz-PC4-25600-Desktop%2Fdp%2FB08PKVMY3C%2Fref%3Dsr_1_44_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129177%26sr%3D8-44-spons%26psc%3D1&qualifier=1625129177&id=3482510968130035&widgetName=sp_mtf
Corsair Vengeance RGB Pro 16GB (2x8GB) DDR4 3600 (PC4-28800) C18 Desktop Memory – Black,$109.99,4.8 out of 5 stars,"3,901",https://www.amazon.com/Corsair-Vengeance-PC4-28800-Desktop-Memory/dp/B07TB3R9JB/ref=sr_1_45?dchild=1&keywords=RAM&qid=1625129177&sr=8-45
G.SKILL 32GB (2 x 16GB) Ripjaws V Series DDR4 PC4-25600 3200MHz for Intel Z170 Platform Desktop Memory Model F4-3200C16D-32GVK,$159.99,4.8 out of 5 stars,"2,579",https://www.amazon.com/G-SKILL-Ripjaws-PC4-25600-Platform-F4-3200C16D-32GVK/dp/B0171GQR0C/ref=sr_1_46?dchild=1&keywords=RAM&qid=1625129177&sr=8-46
G.Skill RipJaws V Series 64GB (2 x 32GB) 288-Pin SDRAM DDR4 3600 (PC4-28800) CL18-22-22-42 1.35V Dual Channel Desktop Memory Model F4-3600C18D-64GVK,$339.99,4.7 out of 5 stars,147,https://www.amazon.com/G-Skill-RipJaws-PC4-28800-CL18-22-22-42-F4-3600C18D-64GVK/dp/B0884TNHNC/ref=sr_1_47?dchild=1&keywords=RAM&qid=1625129177&sr=8-47
Rams,$11.99,4.3 out of 5 stars,683,https://www.amazon.com/Rams-Sam-Neill/dp/B08VQJ4L3C/ref=sr_1_48?dchild=1&keywords=RAM&qid=1625129177&sr=8-48
LEVEN RGB 16GB KIT (8GBx2) DDR4-3200MHz PC4-25600 288-Pin U-DIMM CL16 XMP2.0 Overclocking Gaming RAM Desktop Memory Module- RED (JRG4U3200172408R-8Mx2),$82.99,5.0 out of 5 stars,5,https://www.amazon.com/LEVEN-DDR4-3200MHz-PC4-25600-Overclocking-JRG4U3200172408R-8Mx2/dp/B08XLXNK29/ref=sr_1_50?dchild=1&keywords=RAM&qid=1625129177&sr=8-50
Corsair Vengeance RGB Pro 32GB (4x8GB) DDR4 3600 (PC4-28800) C18 Desktop Memory – Black,$229.99,4.8 out of 5 stars,690,https://www.amazon.com/Corsair-Vengeance-PC4-28800-Desktop-Memory/dp/B07TB4J2DD/ref=sr_1_51?dchild=1&keywords=RAM&qid=1625129177&sr=8-51
PNY 16GB (2x8GB) XLR8 Gaming Epic-X RGB DDR4 3200MHz Desktop Memory RAM – (MD16GK2D4320016XRGB),$99.99,4.8 out of 5 stars,504,https://www.amazon.com/PNY-Gaming-Epic-X-3200MHz-Desktop/dp/B08B9KQDK5/ref=sr_1_52?dchild=1&keywords=RAM&qid=1625129177&sr=8-52
Patriot Signature Line Series DDR4 16GB (2 x 8GB) 3200MHz UDIMM Kit,$74.99,4.3 out of 5 stars,11,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A098558024M6A9H0YX96B&url=%2FPatriot-Signature-Line-3200MHz-UDIMM%2Fdp%2FB0887QSHQC%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129177%26sr%3D8-53-spons%26psc%3D1&qualifier=1625129177&id=3482510968130035&widgetName=sp_btf
